codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental
16-01-0604-46,16-031,Alta Verapaz,Coban,Instituto Privado Raul Chenal Heinemann,"5A. Calle 1-06, Zona 3", 7951-0413,Patricio Najarro Asencio,Silvia Beatriz Soto Chén,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0609-46,16-031,Alta Verapaz,Coban,Instituto Mixto De Educacion Bilingue Intercultural -Imebi-,Lotificacion Chivencorral, 3036-7501,Patricio Najarro Asencio,Juan Pascual Lucas Antonio,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0612-46,16-031,Alta Verapaz,Coban,Instituto De Magisterio De Educacion Preprimaria Infantil Bilingue Intercultural Luz Del Saber,"Calzada Rabin Ajau, Zona 1", 5756-5646,Patricio Najarro Asencio,Thelma Martina Pop Tzir,Diversificado,Privado,Rural,Abierta,Bilingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0613-46,16-031,Alta Verapaz,Coban,"Colegio Particular Mixto ""Anton De Montesinos""",1A. Calle 7-22 Zona 3, 7725-9205,Patricio Najarro Asencio,Margarita Villalobos Ligorría,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0616-46,16-037,Alta Verapaz,Coban,Instituto Nacional De Educacion Diversificada,Aldea Salacuim, 5765-5184,Cesar Rigoberto Cuc Caal,Axel Abelardo Chub Leal,Diversificado,Oficial,Rural,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0642-46,16-005,Alta Verapaz,Coban,Instituto Nacional De Educacion Diversificada,Aldea Choval, 5333-1646,Nora Liliana Figueroa Hernández,Gilda Aracely Wellmann Duarte,Diversificado,Oficial,Rural,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0651-46,16-031,Alta Verapaz,Coban,Centro De Formación Integral Ciudad De La Esperanza,6A. Av. 10-68 Zona 12 Colonia El Esfuerzo I, 7736-7652,Patricio Najarro Asencio,Byron Anibal Gómez Gatica,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0652-46,16-037,Alta Verapaz,Coban,Instituto Maya Comunitario K'Amolb'E,Aldea Nimlajacoc, 3062-1374,Cesar Rigoberto Cuc Caal,Jose Lino Quib Che,Diversificado,Privado,Rural,Abierta,Bilingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0664-46,16-031,Alta Verapaz,Coban,Liceo Americano Del Norte,5Ta. Avenida 2-23 Zona 4, 7951-4754,Patricio Najarro Asencio,José Cupertino Reyes Garcia,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0668-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Imperial,"5A Calle 1-98, Zona 3", 5710-1061,Patricio Najarro Asencio,Susely Beatriz Elías Pop,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Diario(Regular),Alta Verapaz
16-01-0671-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnológico En Informática,2A. Calle 12-23 Zona 4, 7952-1190,Patricio Najarro Asencio,Jorge Salvador Juárez Sierra,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Diario(Regular),Alta Verapaz
16-01-0672-46,16-031,Alta Verapaz,Coban,Ica,11Avenida 1-10 Zona 1, 3350-9500,Patricio Najarro Asencio,Laidy Andrea Chocooj Tiul,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0678-46,16-031,Alta Verapaz,Coban,Colegio La Libertad,3A. Avenida Cinco Guion Doce (5-12), 4897-9726,Patricio Najarro Asencio,Silvia Yolanda Caal Quim,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Alta Verapaz
16-01-0681-46,16-031,Alta Verapaz,Coban,Instituto Mixto Privado Santo Domingo,"2A. Calle 11-10, Zona 2", 7952-9830,Patricio Najarro Asencio,América Nuila Luther,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Alta Verapaz
16-01-0690-46,16-031,Alta Verapaz,Coban,"Isea ""La Escuela En Su Casa""",1A. Av. 4-24 Zona 2, 7793-0803,Patricio Najarro Asencio,Ludwing Joel Noriega Morales,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,A Distancia,Alta Verapaz
16-01-0694-46,16-031,Alta Verapaz,Coban,Colegio La Libertad,3A. Av. 5-12 Zona 4, 5556-4568,Patricio Najarro Asencio,Silvia Yolanda Caal Quim,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Semipresencial,Alta Verapaz
16-01-0703-46,16-031,Alta Verapaz,Coban,Instituto Mixto Privado Salud Y Desarrollo,Diagnonal 1 1-26 Zona 1, 5192-2050,Patricio Najarro Asencio,Samantha Gabriela De La Cruz Morales,Diversificado,Privado,Urbana,Abierta,Bilingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0705-46,16-050,Alta Verapaz,Coban,Programa Nacional De Educación Alternativa Pronea,7A. Av. 2-18 D Zona 1, 4558-7767,Maximiliano Chub Ical,--,Diversificado,Oficial,Rural,Abierta,Monolingue,Doble,A Distancia,Alta Verapaz
