codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental
00-21-0007-46,01-210,Guatemala,Zona 21,Instituto Nacional De Educacion Diversificada,"Lote 164, Colonia Morse", 2479-3766,Diniz Oralia Morales Muñoz,Norma Julieta Monterroso Sicay,Diversificado,Oficial,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Guatemala Sur
00-21-0011-46,01-208,Guatemala,Zona 21,Instituto Tecnico De Capacitacion Y Productividad -Intecap-,"14 Avenida ""C"" 11-31 Colonia ""Justo Rufino Barrios""", 2320-0200,Lilian Nineth Teos Reyes,Evelyn Lissette Morales Miranda,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Diario(Regular),Guatemala Sur
00-21-0033-46,01-218,Guatemala,Zona 21,"Instituto De Educacion Basica Por Cooperativa De Enseñanza ""Ramiro De Leon Carpio""","Calzada Justo Rufino Barrios, 3-38, Colonia Guajitos", 2234-2318,Benigno Isaias De Leon Orozco,Edgar Rolando Sazo Martinez,Diversificado,Cooperativa,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Guatemala Sur
00-21-0041-46,01-208,Guatemala,Zona 21,Liceo Mixto Tecnicas Integrales,"9A. Calle A, 06-80, Zona 21, Eureka", 2449-1910,Lilian Nineth Teos Reyes,María Fernanda Fajardo Molina,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Guatemala Sur
00-21-0046-46,01-208,Guatemala,Zona 21,Centro Educativo Demosoft,"3A. Avenida 7-33, Colonia Vasquez", 2449-0609,Lilian Nineth Teos Reyes,Lorna Estefania Abaloni Armas,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Guatemala Sur
00-21-0049-46,01-641,Guatemala,Zona 21,Centro Educativo Demosoft,"3A. Avenida 7-33, Colonia Vasquez", 2449-0609,Milton Alonso Alvarez Fuentes,Lorna Estefania Abaloni Armas,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Guatemala Sur
00-21-0054-46,01-208,Guatemala,Zona 21,Ined Metropolitano Del Sur,"Asentamiento Nuestra Realidad, Nuestra Realidad, Loma Blanca, Zona 21, Guatemala", 4290-2669,Lilian Nineth Teos Reyes,Silvia Irene De León Vásquez,Diversificado,Oficial,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Guatemala Sur
00-21-0056-46,01-635,Guatemala,Zona 21,Instituto Nacional De Educacion Diversificada,"14 Calle Final Y 33 Avenida, Colonia Justo Rufino Barrios", 2449-7840,Nataly Fabiola Soto España De Turcios,Carlos Alfredo Argueta Alfaro,Diversificado,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Guatemala Sur
00-21-0060-46,01-210,Guatemala,Zona 21,Colegio Mixto Amanecer Juvenil,"12 Avenida 05-15 Colonia Guajitos, Zona 21 Guatemala", 2449-7621,Diniz Oralia Morales Muñoz,Elsy Magali Sipaque Martínez,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Guatemala Sur
00-21-0077-46,01-635,Guatemala,Zona 21,Centro Educativo Proyecto 70/7,"00 Avenida B, 19-10, Asentamiento La Arenera", 5491-2874,Nataly Fabiola Soto España De Turcios,Rosa Herminia Estupe González,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Guatemala Sur
00-21-0078-46,01-641,Guatemala,Zona 21,Centro Educativo Proyecto 70/7,"00 Avenida B, 19-10, Asentamiento La Arenera", 5491-2874,Milton Alonso Alvarez Fuentes,Rosa Herminia Estupe González,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Guatemala Sur
00-21-0079-46,01-641,Guatemala,Zona 21,Centro Educativo Proyecto 70/7,"00 Avenida B, 19-10, Asentamiento La Arenera", 5491-2874,Milton Alonso Alvarez Fuentes,Rosa Herminia Estupe González,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),Guatemala Sur
00-21-0084-46,01-641,Guatemala,Zona 21,Centro Educativo Demosoft,3A. Avenida 7-33 Colonia Vasquez, 3431-0198,Milton Alonso Alvarez Fuentes,Lorna Estefania Abaloni Armas,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),Guatemala Sur
00-21-0087-46,01-641,Guatemala,Zona 21,Instituto Nacional De Educacion Diversificada,19 Avenida B Y 12 Calle Final, 5510-2714,Milton Alonso Alvarez Fuentes,Claudia Fanni Borrayo Lucero,Diversificado,Oficial,Urbana,Abierta,Monolingue,Nocturna,Diario(Regular),Guatemala Sur
00-21-0088-46,01-641,Guatemala,Zona 21,Instituto Mixto Privado Industrial Israel,"Calzada Justo Rufino Barrios, 13-35", 2449-9286,Milton Alonso Alvarez Fuentes,Karla Mercedes Pineda Chavez,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Guatemala Sur
00-21-0089-46,01-641,Guatemala,Zona 21,Instituto Mixto Privado Industrial Israel,"Calzada Justo Rufino Barrios, 13-35", 2449-9286,Milton Alonso Alvarez Fuentes,Karla Mercedes Pineda Chavez,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),Guatemala Sur
00-21-0090-46,01-635,Guatemala,Zona 21,Instituto Mixto Privado Industrial Israel,"Calzada Justo Rufino Barrios, 13-35", 2449-9286,Nataly Fabiola Soto España De Turcios,Karla Mercedes Pineda Chavez,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Guatemala Sur
00-21-0095-46,01-635,Guatemala,Zona 21,"Centro De Aprendizaje A Distancia Educativo ""Cade""","8A. Calle 10-30, Colonia Vásquez", 5704-4487,Nataly Fabiola Soto España De Turcios,Marco Tulio Roblero Osorio,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,A Distancia,Guatemala Sur
00-21-0096-46,01-641,Guatemala,Zona 21,"Centro De Aprendizaje A Distancia Educativo ""Cade""","8A. Calle 10-30, Colonia Vásquez", 5704-4487,Milton Alonso Alvarez Fuentes,Marco Tulio Roblero Osorio,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,A Distancia,Guatemala Sur
00-21-0098-46,01-641,Guatemala,Zona 21,Liceo Mixto Cristiano Israel,"10A. Calle A 4-17 Zona 21, Residenciales Eureka", 2448-7822,Milton Alonso Alvarez Fuentes,María Reyna García Oliva,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,A Distancia,Guatemala Sur
00-21-0099-46,01-635,Guatemala,Zona 21,Colegio Mixto Cientifico Cristiano Emanuel,Calzada Justo Rufino Barrios 32-81, 2449-7744,Nataly Fabiola Soto España De Turcios,Laura Johana González Mejía,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Guatemala Sur
00-21-7973-46,01-635,Guatemala,Zona 21,Colegio Osorio Sandoval,4Ta. Ave. 6-30 Colonia Vasquez, 2449-3119,Nataly Fabiola Soto España De Turcios,Marco Tulio Roblero Osorio,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Guatemala Sur
00-21-8135-46,01-208,Guatemala,Zona 21,Colegio Mixto Bilingue 'Juvenil Americano',16 Ave. 12-29 Nimajuyu I, 5799-1528,Lilian Nineth Teos Reyes,María Eugenia Colíndres Yoc,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Guatemala Sur
00-21-8232-46,01-208,Guatemala,Zona 21,Escuela Nacional De Formacion Secretarial No. 4,"4A. Avenida 10-82, Colonia Bello Horizonte", 2448-6221,Lilian Nineth Teos Reyes,Orfa Ramirez Gonzalez,Diversificado,Oficial,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Guatemala Sur
00-21-8324-46,01-635,Guatemala,Zona 21,Colegio Osorio Sandoval,4A. Avenida 6-30 Colonia Vasquez, 2449-3119,Nataly Fabiola Soto España De Turcios,Marco Tulio Roblero Osorio,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Guatemala Sur
00-24-0008-46,01-110,Guatemala,Zona 24,Instituto Nacional Diversificado Licenciada Celia Margarita Ballesteros Solares,"Lote 8, Manzana 53, Canton Central Canalitos", 3032-1335,Zuhilem Yesenia Estrada Ortiz,Ismenia Judith Rivera Maldonado,Diversificado,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Guatemala Norte
02-01-0027-46,02-014,El Progreso,Guastatoya,Instituto Tecnico Industrial Mixto Guastatoya,Barrio El Calvario, 7945-0881,Carla Marleny Aldana Rodas,José Arturo López Ortiz,Diversificado,Oficial,Urbana,Abierta,Monolingue,Doble,Diario(Regular),El Progreso
02-01-0028-46,02-014,El Progreso,Guastatoya,Colegio De Ciencias Comerciales El Progreso,Barrio El Porvenir, 7945-1265,Carla Marleny Aldana Rodas,Daniel López Solís,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),El Progreso
02-01-0031-46,02-014,El Progreso,Guastatoya,Instituto Nacional De Educacion Diversificada,Barrio El Porvenir, 5442-2753,Carla Marleny Aldana Rodas,Iliana Aracely Lázaro Hernández,Diversificado,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-01-0045-46,02-014,El Progreso,Guastatoya,Instituto De Educación Media Por Madurez,Barrio El Porvenir, 5671-9955,Carla Marleny Aldana Rodas,Nora Rebeca Ibañez Morán,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,El Progreso
02-01-0049-46,02-021,El Progreso,Guastatoya,Centro Municipal De Educación Extraescolar -Ceex-,Colonia Linda Vista, 5825-0827,Marta Elida Carias Hernandez De Garcia,Sandra Paola Morales García,Diversificado,Municipal,Rural,Abierta,Monolingue,Doble,Fin De Semana,El Progreso
02-01-0054-46,02-012,El Progreso,Guastatoya,Colegio Evangelico Torre Fuerte,"Colonia Hichos, Barrio El Porvenir", 7945-1993,Carlota Eugenia Alburez Aguilar,Iris Orfelí Loaiza Moscoso,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-01-0061-46,02-021,El Progreso,Guastatoya,Programa Nacional De Educación Alternativa -Pronea-,Barrio Las Joyas Cementerio Viejo, 7963-7575,Marta Elida Carias Hernandez De Garcia,Marta Elida Carias,Diversificado,Oficial,Urbana,Abierta,Monolingue,Doble,A Distancia,El Progreso
02-01-0062-46,02-021,El Progreso,Guastatoya,Centro De Educación Extraescolar -Ceex- Departamental,"Barrio Las Joyas, Cementerio Viejo", 3796-2236,Marta Elida Carias Hernandez De Garcia,Hellen Celeste Marroquin Corado,Diversificado,Oficial,Urbana,Abierta,Monolingue,Doble,Diario(Regular),El Progreso
02-01-0066-46,02-012,El Progreso,Guastatoya,Colegio Mixto Integral El Progreso,"Colonia Hichos, Barrio El Porvenir", 4740-6758,Carlota Eugenia Alburez Aguilar,Delfina Marisol Pazos Ramos,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),El Progreso
02-01-0068-46,02-012,El Progreso,Guastatoya,Colegio Mixto Integral El Progreso,Colonia Hichos Barrio El Porvenir Guastatoya, 4740-6758,Carlota Eugenia Alburez Aguilar,Delfina Marisol Pazos Ramos,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,El Progreso
02-01-0069-46,02-012,El Progreso,Guastatoya,Colegio Mixto Integral El Progreso,Coloni A Hichos, 4740-6758,Carlota Eugenia Alburez Aguilar,Delfina Marisol Pazos Ramos,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,El Progreso
02-01-0071-46,02-014,El Progreso,Guastatoya,Instituto De Educacion Media Por Madurez,Colonia Nueva Vida, 4235-3730,Carla Marleny Aldana Rodas,Nora Rebeca Ibañez Morán,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),El Progreso
02-01-0073-46,02-014,El Progreso,Guastatoya,Colegio Educare,Barrio El Provenir --, 7764-8671,Carla Marleny Aldana Rodas,Herlinda Eunice Morales Oliva,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),El Progreso
02-01-0075-46,02-012,El Progreso,Guastatoya,Colegio Mixto Integral El Progreso,"Colonia Hichos, Barrio El Porvenir Guastatoya El Progreso", 4740-6758,Carlota Eugenia Alburez Aguilar,Delfina Marisol Pazos Ramos,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,El Progreso
02-01-0252-46,02-014,El Progreso,Guastatoya,Colegio De Ciencias Comerciales El Progreso,Barrio El Porvenir, 7945-1265,Carla Marleny Aldana Rodas,Daniel López Solís,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),El Progreso
02-01-0562-46,02-012,El Progreso,Guastatoya,Colegio De Aplicaciones Integradas Guastatoya,Barrio El Porvenir, 7945-0840,Carlota Eugenia Alburez Aguilar,Brenda Azucena Valiente Arreaga,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),El Progreso
02-01-0607-46,02-012,El Progreso,Guastatoya,Instituto Diversificado Por Cooperativa,Barrio El Porvenir, 7945-2363,Carlota Eugenia Alburez Aguilar,Ninfa Graciela Manriquez Caldera,Diversificado,Cooperativa,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-01-0665-46,02-014,El Progreso,Guastatoya,Escuela Normal De Educacion Fisica,Barrio El Porvenir, 7945-1457,Carla Marleny Aldana Rodas,Walter Oswaldo Morales Catalán,Diversificado,Oficial,Urbana,Abierta,Monolingue,Doble,Diario(Regular),El Progreso
02-01-0704-46,02-014,El Progreso,Guastatoya,Escuela Normal Intercultural,Barrio Las Joyas, 7945-2399,Carla Marleny Aldana Rodas,María Magdalena López Perdomo,Diversificado,Oficial,Urbana,Abierta,Monolingue,Doble,Diario(Regular),El Progreso
02-02-0004-46,02-002,El Progreso,Morazan,Instituto Nacional De Educacion Diversificada Morazan,Barrio Las Delicias, 3013-8295,Silvia Consuelo Gamarro Herrera De Juarez,Claudia Nineth Alvárez Vásquez,Diversificado,Oficial,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),El Progreso
02-02-0014-46,02-002,El Progreso,Morazan,Instituto Diversificado Por Cooperativa,Barrio Las Delicias, 7924-7700,Silvia Consuelo Gamarro Herrera De Juarez,Israel Rojas Ordoñez,Diversificado,Cooperativa,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-02-0613-46,02-002,El Progreso,Morazan,Instituto Diversificado Por Cooperativa,Barrio Las Delicias, 7924-7700,Silvia Consuelo Gamarro Herrera De Juarez,Israel Rojas Ordoñez,Diversificado,Cooperativa,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-03-0002-46,02-015,El Progreso,San Agustin Acasaguastlan,"Colegio ""Centro De Formacion Profesional Pre-Universitaria Del Ciclo Diversificado""",Barrio El Centro, 5586-6613,Edna Lily Aldana Godoy,Héctor Francisco De León Muralles,Diversificado,Privado,Rural,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-03-0003-46,02-015,El Progreso,San Agustin Acasaguastlan,"Colegio ""Centro De Formacion Profesional Preuniversitaria Del Ciclo Diversificado""",Barrio El Centro, 5978-7086,Edna Lily Aldana Godoy,Héctor Francisco De León Muralles,Diversificado,Privado,Rural,Abierta,Monolingue,Matutina,Diario(Regular),El Progreso
02-03-0004-46,02-015,El Progreso,San Agustin Acasaguastlan,"Colegio ""Centro De Formacion Profesional Pre-Universitaria Del Ciclo Diversificado""",Barrio El Centro, 5638-9671,Edna Lily Aldana Godoy,Héctor Francisco De León Muralles,Diversificado,Privado,Rural,Abierta,Monolingue,Doble,Fin De Semana,El Progreso
02-03-0021-46,02-013,El Progreso,San Agustin Acasaguastlan,Instituto Nacional De Educacion Diversificada,Barrio Agua Hiel, 3179-0028,Johana Maybellí Díaz Marttínez,Ana Lucrecia López Marroquín,Diversificado,Oficial,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),El Progreso
02-03-0022-46,02-013,El Progreso,San Agustin Acasaguastlan,Instituto Nacional De Educacion Diversificada,Aldea El Rancho, 4803-9407,Johana Maybellí Díaz Marttínez,Nery René Ortega Valiente,Diversificado,Oficial,Rural,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-03-0050-46,02-015,El Progreso,San Agustin Acasaguastlan,Centro Educativo Privado Mixto Acazau-Aztlan,Barrio Guaytan, 4480-7367,Edna Lily Aldana Godoy,Rosa Delia Morales Balcárcel,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,El Progreso
02-03-0054-46,02-015,El Progreso,San Agustin Acasaguastlan,Colegio Privado Mixto De Educacion Basica San Agustin Acasaguastlan -Comebsa-,Barrio Guaytan, 3151-1521,Edna Lily Aldana Godoy,Aura Marina Aguilar Ramirez,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,El Progreso
02-03-0107-46,02-003,El Progreso,San Agustin Acasaguastlan,"Escuela Técnica Profesional ""Moisés Lira Serafin""","Caserio Las Champas, Aldea Santa Gertrudis", 4770-0271,Eunice Guadalupe Najarro Juarez,Marlen Karina Arana Grijalva,Diversificado,Privado,Rural,Abierta,Monolingue,Matutina,Diario(Regular),El Progreso
02-03-0109-46,02-003,El Progreso,San Agustin Acasaguastlan,Instituto Nacional De Educación Diversificada,Aldea El Conacaste, 5891-4882,Eunice Guadalupe Najarro Juarez,Rony Albino López Crúz,Diversificado,Oficial,Rural,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-03-0112-46,02-003,El Progreso,San Agustin Acasaguastlan,Instituto Nacional De Educación Diversificada,Aldea El Morro, 4719-0600,Eunice Guadalupe Najarro Juarez,Maribel Gerandina Lima Porras,Diversificado,Oficial,Rural,Abierta,Monolingue,Matutina,Diario(Regular),El Progreso
02-03-0117-46,02-015,El Progreso,San Agustin Acasaguastlan,Centro Educativo Privado Mixto Acazau-Aztlan,Barrio Guaytan, 4480-7367,Edna Lily Aldana Godoy,Blanca Roselia Oliva Ramos,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-03-0119-46,02-015,El Progreso,San Agustin Acasaguastlan,Colegio El Shaddai,Barrio Rio Hato, 4095-3523,Edna Lily Aldana Godoy,Zonia Elizabeht Marroquín Gutierrez,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-03-0125-46,02-015,El Progreso,San Agustin Acasaguastlan,Colegio El Shaddai,Barrio Rio Hato, 4641-3167,Edna Lily Aldana Godoy,Zonia Elizabeht Marroquín Gutierrez,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-03-0128-46,02-013,El Progreso,San Agustin Acasaguastlan,Instituto Municipal De Educación Diversificada,Aldea Tulumajillo, 4939-9416,Johana Maybellí Díaz Marttínez,Marvin Augusto Cordova Súchite,Diversificado,Municipal,Rural,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-03-0133-46,02-003,El Progreso,San Agustin Acasaguastlan,Centro Educativo Privado Mixto Innovador,Barrio Guaytan, 4215-9528,Eunice Guadalupe Najarro Juarez,Heidy Carolina Lopez,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-03-0134-46,02-003,El Progreso,San Agustin Acasaguastlan,Centro Educativo Privado Mixto Innovador,Barrio Guaytan, 4215-9528,Eunice Guadalupe Najarro Juarez,Heidy Carolina Lopez,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,El Progreso
02-03-0136-46,02-003,El Progreso,San Agustin Acasaguastlan,Centro Educativo Privado Mixto Innovador,Barrio Guaytan,4215928,Eunice Guadalupe Najarro Juarez,Heidy Carolina Lopez,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,El Progreso
02-03-0142-46,02-015,El Progreso,San Agustin Acasaguastlan,"Colegio Tecnológico ""Jerusalén""",Barrio San Sebastian, 4987-0363,Edna Lily Aldana Godoy,Edgar Raúl Sánchez Morales,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-03-0144-46,02-015,El Progreso,San Agustin Acasaguastlan,"Colegio Privado Mixto De Educación Básica Plan Fin De Semana ""Comebsa""",Barrio San Sebastian, 7936-0679,Edna Lily Aldana Godoy,Aura Marina Aguilar Ramirez,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),El Progreso
02-03-0146-46,02-003,El Progreso,San Agustin Acasaguastlan,Centro Educativo Privado Mixto Innovador,Barrio Guaytan, 5450-7272,Eunice Guadalupe Najarro Juarez,Heidy Carolina Lopez,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),El Progreso
02-03-0148-46,02-015,El Progreso,San Agustin Acasaguastlan,"Centro Educativo Privado Mixto ""Acazauaztlan""",Barrio San Sebastian, 7936-0581,Edna Lily Aldana Godoy,Rosa Delia Morales Balcárcel,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),El Progreso
02-03-0150-46,02-015,El Progreso,San Agustin Acasaguastlan,Colegio Centro De Formación Profesional Pre-Univeristaria Del Ciclo Diversificado,Barrio El Centro Aldea El Rancho, 5978-7086,Edna Lily Aldana Godoy,Héctor Francisco De León Muralles,Diversificado,Privado,Rural,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),El Progreso
02-03-0157-46,02-015,El Progreso,San Agustin Acasaguastlan,Colegio Tecnológico Jerusalén,Barrio San Sebastian San Agustin Acasaguastlan, 7936-0679,Edna Lily Aldana Godoy,Edgar Raúl Sánchez Morales,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-03-0158-46,02-015,El Progreso,San Agustin Acasaguastlan,Colegio Tecnológico Jerusalén,Barrio San Sebastian San Agustin Acasaguastlan, 7936-0679,Edna Lily Aldana Godoy,Edgar Raúl Sánchez Morales,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-03-0159-46,02-015,El Progreso,San Agustin Acasaguastlan,"Colegio Privado Mixto De Educación Básica Plan Fin De Semana ""Comebsa""",Barrio San Sebastian San Agustin Acasaguastlan, 7936-0679,Edna Lily Aldana Godoy,Aura Marina Aguilar Ramirez,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,El Progreso
02-03-0162-46,02-015,El Progreso,San Agustin Acasaguastlan,Centro Educativo Privado Mixto Acazau-Aztlan,Barrio San Sebastian San Agustin Acasaguastlan, 5650-8470,Edna Lily Aldana Godoy,Blanca Roselia Oliva Ramos,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-03-0163-46,02-015,El Progreso,San Agustin Acasaguastlan,Centro Educativo Privado Mixto Acazau-Aztlan,Barrio San Sebastian San Agustin Acasaguastlan, 3052-8878,Edna Lily Aldana Godoy,Rosa Delia Morales Balcárcel,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,El Progreso
02-03-0164-46,02-015,El Progreso,San Agustin Acasaguastlan,Centro Educativo Privado Mixto Acazau-Aztlan,Barrio San Sebastian San Agustin Acasaguastlan, 3052-8878,Edna Lily Aldana Godoy,Rosa Delia Morales Balcarcel,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),El Progreso
02-03-0167-46,02-015,El Progreso,San Agustin Acasaguastlan,Instituto Nacional De Educación Diversificada,Aldea Tecuiz, 5512-8751,Edna Lily Aldana Godoy,Mildred Cecilia Crúz Larios,Diversificado,Oficial,Rural,Abierta,Monolingue,Matutina,Diario(Regular),El Progreso
02-03-0599-46,02-003,El Progreso,San Agustin Acasaguastlan,"Instituto Diversificado Por Cooperativa ""San Agustin Acasaguastlan""",Barrio Guaytan Arriba, 7936-0629,Eunice Guadalupe Najarro Juarez,María Eugenia Vargas Paíz,Diversificado,Cooperativa,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-03-0719-46,02-003,El Progreso,San Agustin Acasaguastlan,Escuela Tecnica Profesional Moises Lira Serafin,Caserio Las Champas Aldea Santa Gertrudis, 4770-0271,Eunice Guadalupe Najarro Juarez,Marlen Karina Arana Grijalva,Diversificado,Privado,Rural,Abierta,Monolingue,Doble,Fin De Semana,El Progreso
02-04-0004-46,02-004,El Progreso,San Cristobal Acasaguastlan,Instituto Nacional De Educacion Diversificada,Cabecera Municipal, 5873-7848,Edgar Rudy Morales Godinez,Lisbeth Mariela Aldana Juarez,Diversificado,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-04-0014-46,02-004,El Progreso,San Cristobal Acasaguastlan,Colegio Cristiano Berea Pastor Erwin Alberto Reyes Alvarado,Aldea Estancia De La Virgen, 5210-7093,Edgar Rudy Morales Godinez,María Yolanda Paz Y Paz,Diversificado,Privado,Rural,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-04-0419-46,02-004,El Progreso,San Cristobal Acasaguastlan,Instituto Mixto Privado San Cristobal,Avenida Juan Antonio, 5514-1140,Edgar Rudy Morales Godinez,Everildo Bailón Morales,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-05-0008-46,02-019,El Progreso,El Jicaro,Instituto Nacional De Educacion Diversificada,Barrio Buenos Aries, 5699-9635,Jackson Amaggi Morales Macal,Martha Yessenia Macal Aldana,Diversificado,Oficial,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),El Progreso
02-05-0013-46,02-019,El Progreso,El Jicaro,Instituto Municipal De El Paso De Los Jalapas,Aldea El Paso De Los Jalapas, 4438-8320,Jackson Amaggi Morales Macal,Karla Judith Mejía Vargas,Diversificado,Municipal,Rural,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-05-0017-46,02-019,El Progreso,El Jicaro,Instituto Municipal De Educación Diversificada,Barrio Buenos Aires, 4372-8224,Jackson Amaggi Morales Macal,Lilian Melissa Luna López,Diversificado,Municipal,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),El Progreso
02-05-0018-46,02-019,El Progreso,El Jicaro,Instituto Nacional Tecnológico De Educación Diversificada De El Jícaro,Barrio Buenos Aires,3033,Jackson Amaggi Morales Macal,Manfredo Humberto García Ortiz,Diversificado,Oficial,Urbana,Abierta,Monolingue,Doble,Diario(Regular),El Progreso
02-05-0019-46,02-019,El Progreso,El Jicaro,Instituto De Educación Básica Y Bachillerato Por Madurez,Jicaro, 5647-6148,Jackson Amaggi Morales Macal,Wendy Primavera Vargas Salguero,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),El Progreso
02-05-0664-46,02-019,El Progreso,El Jicaro,Instituto Diversificado Por Cooperativa,Barrio Buenos Aires, 3008-2063,Jackson Amaggi Morales Macal,Brayan Ramiro García Matías,Diversificado,Cooperativa,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
02-05-0687-46,02-019,El Progreso,El Jicaro,Colegio Cristiano Nueva Jerusalen,Barrio Buenos Aires, 5460-8062,Jackson Amaggi Morales Macal,Jorge Mario Ramírez López,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),El Progreso
